,CONTEXT_ID,CONTEXT_NAME,TAO ID,Last Modified Date,Document Class/Subclass,Document Class/Subclass ID,Ordering,Action,Next Status,Department,Department ID,Provider,Provider ID,Order Type,Order Type ID,Order Genus,Assigned To
0,8967,FL - Ascension - Florida,255,2/21/2018,ORDER:IMAGING,255,1000,All,SUBMIT,All,All,All,All,All,All,All,[PROVIDER] STAFF
1,8967,FL - Ascension - Florida,141,7/17/2023,ORDER:IMAGING,141,95,All,SUBMIT,zCLSD_SVPE_PRIMARY_WELLS, 160,All,All,All,All,All,refcc
2,8967,FL - Ascension - Florida,141,7/17/2023,ORDER:IMAGING,141,95,All,SUBMIT,SVPE_PRIMARY_PARK AVE 2300,610,All,All,All,All,All,refcc
3,8967,FL - Ascension - Florida,1342,12/27/2023,ORDER:IMAGING,1382,95,All,SUBMIT,SVPE_RHEUM_SS_ROGER MAIN215_HOPD, 881,All,All,All,All,All,rheumout
4,8967,FL - Ascension - Florida,1342,12/27/2023,ORDER:IMAGING,1382,95,All,SUBMIT,zCLSD_SVPE_RHEUM_SS_ROGER MAIN 215, 693,All,All,All,All,All,rheumout
5,8967,FL - Ascension - Florida,1342,12/27/2023,ORDER:IMAGING,1382,95,All,SUBMIT,zCLSD_SVPE_RHEUM_SS_JAB 3026, 333,All,All,All,All,All,rheumout
6,8967,FL - Ascension - Florida,1342,12/27/2023,ORDER:IMAGING,1382,95,All,SUBMIT,zCLSD_SVPE_RHEUM_SS_JAB 2005, 195,All,All,All,All,All,rheumout
7,8967,FL - Ascension - Florida,1342,12/27/2023,ORDER:IMAGING,1382,95,All,SUBMIT,SVPE_RHEUM_SS_SVSS_IP, 425,All,All,All,All,All,rheumout
8,8967,FL - Ascension - Florida,1342,12/27/2023,ORDER:IMAGING,1382,95,All,SUBMIT,zCLSD_SVPE_RHEUM_SS_SVSS_OP, 426,All,All,All,All,All,rheumout
9,8967,FL - Ascension - Florida,1342,12/27/2023,ORDER:IMAGING,1382,95,All,SUBMIT,zCLSD_SVPE_RHEUM_SS_SVSS_ER, 424,All,All,All,All,All,rheumout
10,8967,FL - Ascension - Florida,1342,12/27/2023,ORDER:IMAGING,1382,95,All,SUBMIT,zCLSD_SVPE_RHEUM_SJ_SJMOB,840,All,All,All,All,All,rheumout
11,8967,FL - Ascension - Florida,4262,9/16/2023,ORDER:IMAGING,4442,95,All,SUBMIT,SVPE_CARDIO_RS_DEPAUL 400, 918,apatel115,458,All,All,All,cardiokingauththree
12,8967,FL - Ascension - Florida,4262,9/16/2023,ORDER:IMAGING,4442,95,All,SUBMIT,SVPE_CARDIO_RS_DEPAUL 300, 919,apatel115,458,All,All,All,cardiokingauththree
13,8967,FL - Ascension - Florida,4262,9/16/2023,ORDER:IMAGING,4442,95,All,SUBMIT,SVPE_CARDIO_RS_KING ST 300, 21,apatel115,458,All,All,All,cardiokingauththree
14,8967,FL - Ascension - Florida,4262,9/16/2023,ORDER:IMAGING,4442,95,All,SUBMIT,SVPE_CARDIO_SS_MCCI UNIVERSITY, 578,apatel115,458,All,All,All,cardiokingauththree
15,8967,FL - Ascension - Florida,4262,9/16/2023,ORDER:IMAGING,4442,95,All,SUBMIT,zCLSD_SVPE_CARDIO_RS_HILLIARD,497,apatel115,458,All,All,All,cardiokingauththree
16,8967,FL - Ascension - Florida,4856,11/6/2017,ORDER:IMAGING,5041,95,All,SUBMIT,zFNL_SVPE_DM_DIABETES MGMT_HILLIARD, 310,All,All,All,All,All,[PRACTICESTAFF]
17,8967,FL - Ascension - Florida,4856,11/6/2017,ORDER:IMAGING,5041,95,All,SUBMIT,SVPE_DM_DIABETES MGMT_SS_IND, 291,All,All,All,All,All,[PRACTICESTAFF]
18,8967,FL - Ascension - Florida,4856,11/6/2017,ORDER:IMAGING,5041,95,All,SUBMIT,zFNL_SVPE_DM_DIABETES MGMT_PARK, 293,All,All,All,All,All,[PRACTICESTAFF]
19,8967,FL - Ascension - Florida,4856,11/6/2017,ORDER:IMAGING,5041,95,All,SUBMIT,zCLSD_SVPE_DM_DIABETES MGMT_RS_TERRY CONF, 289,All,All,All,All,All,[PRACTICESTAFF]
20,8967,FL - Ascension - Florida,4856,11/6/2017,ORDER:IMAGING,5041,95,All,SUBMIT,zCLSD_SVPE_DM_DIABETES MGMT_RS_SPIRIT CTR, 290,All,All,All,All,All,[PRACTICESTAFF]
21,8967,FL - Ascension - Florida,4856,11/6/2017,ORDER:IMAGING,5041,95,All,SUBMIT,zCLSD_SVPE_DM_DIABETES MGMT_CC,292,All,All,All,All,All,[PRACTICESTAFF]
22,8967,FL - Ascension - Florida,4866,6/16/2023,ORDER:IMAGING,5048,95,All,SUBMIT,zCLSD_SVPE_PULM_RS_DILLON 625, 582,All,All,All,All,All,[PROVIDER] STAFF
23,8967,FL - Ascension - Florida,4866,6/16/2023,ORDER:IMAGING,5048,95,All,SUBMIT,zCLSD_SVPE_PULM_RS_ROGER MAIN 215, 167,All,All,All,All,All,[PROVIDER] STAFF
24,8967,FL - Ascension - Florida,4866,6/16/2023,ORDER:IMAGING,5048,95,All,SUBMIT,zCLSD_SVPE_PULM_RS_LEE 203, 165,All,All,All,All,All,[PROVIDER] STAFF
25,8967,FL - Ascension - Florida,4866,6/16/2023,ORDER:IMAGING,5048,95,All,SUBMIT,zFNL_SVPE_PULM_RS_DEPAUL 435, 162,All,All,All,All,All,[PROVIDER] STAFF
